6,4,4,10,0.7894736842105263,0.5,0.21052631578947367,0.5
16,24,10,8,0.34782608695652173,0.5,0.6521739130434783,0.5
26,10,3,4,0.5,0.22388059701492538,0.5,0.7761194029850746
8,21,9,6,0.20253164556962025,0.5,0.7974683544303798,0.5
15,25,13,11,0.336734693877551,0.5,0.6632653061224489,0.5
15,22,13,10,0.3440366972477064,0.5,0.6559633027522935,0.5
23,17,16,20,0.5,0.37158469945355194,0.5,0.6284153005464481
16,26,27,20,0.3131115459882583,0.5,0.6868884540117417,0.5
11,6,6,20,0.8369565217391305,0.45652173913043476,0.16304347826086957,0.5434782608695652
22,30,30,18,0.5,0.6944444444444444,0.5,0.3055555555555556
22,29,15,14,0.414535666218035,0.5,0.585464333781965,0.5
7,9,17,8,0.5,0.7320574162679426,0.5,0.2679425837320574
11,6,3,25,0.9385665529010239,0.5,0.06143344709897611,0.5
6,30,27,16,0.10596026490066225,0.5,0.8940397350993378,0.5
23,19,16,29,0.6869207003089598,0.5,0.31307929969104015,0.5
6,4,4,10,0.7894736842105263,0.5,0.21052631578947367,0.5
16,24,10,8,0.34782608695652173,0.5,0.6521739130434783,0.5
26,10,3,4,0.5,0.22388059701492538,0.5,0.7761194029850746
8,21,9,6,0.20253164556962025,0.5,0.7974683544303798,0.5
15,25,13,11,0.336734693877551,0.5,0.6632653061224489,0.5
15,22,13,10,0.3440366972477064,0.5,0.6559633027522935,0.5
23,17,16,20,0.5,0.37158469945355194,0.5,0.6284153005464481
16,26,27,20,0.3131115459882583,0.5,0.6868884540117417,0.5
11,6,6,20,0.8369565217391305,0.45652173913043476,0.16304347826086957,0.5434782608695652
22,30,30,18,0.5,0.6944444444444444,0.5,0.3055555555555556
22,29,15,14,0.414535666218035,0.5,0.585464333781965,0.5
7,9,17,8,0.5,0.7320574162679426,0.5,0.2679425837320574
11,6,3,25,0.9385665529010239,0.5,0.06143344709897611,0.5
6,30,27,16,0.10596026490066225,0.5,0.8940397350993378,0.5
23,19,16,29,0.6869207003089598,0.5,0.31307929969104015,0.5
27,18,20,23,0.5,0.3669724770642202,0.5,0.6330275229357798
3,5,28,22,0.32038834951456313,0.5,0.6796116504854369,0.5
12,27,22,21,0.2978723404255319,0.5,0.7021276595744681,0.5
27,25,8,22,0.7481108312342569,0.5,0.2518891687657431,0.5
11,21,24,25,0.35301668806161746,0.5,0.6469833119383825,0.5
6,19,25,18,0.18524871355060035,0.5,0.8147512864493996,0.5
23,25,10,20,0.647887323943662,0.5,0.352112676056338,0.5
6,18,27,13,0.20588235294117646,0.6176470588235294,0.7941176470588235,0.38235294117647056
3,15,21,20,0.16,0.5,0.84,0.5
28,29,2,25,0.9234828496042217,0.5,0.07651715039577836,0.5
25,10,8,30,0.8208955223880597,0.3283582089552239,0.1791044776119403,0.6716417910447762
24,28,2,3,0.5625,0.5,0.4375,0.5
8,27,12,10,0.19801980198019803,0.5,0.801980198019802,0.5
21,17,11,17,0.65625,0.5,0.34375,0.5
22,20,17,23,0.5981087470449172,0.5,0.40189125295508277,0.5
9,20,13,10,0.2571428571428571,0.5,0.7428571428571429,0.5
19,22,1,4,0.7755102040816326,0.5,0.22448979591836735,0.5
4,21,25,10,0.12371134020618557,0.6494845360824743,0.8762886597938144,0.35051546391752575
7,9,10,29,0.6928327645051194,0.5,0.30716723549488056,0.5
7,30,6,16,0.3835616438356164,0.5,0.6164383561643836,0.5
22,25,12,20,0.5945945945945946,0.5,0.40540540540540543,0.5
22,12,1,27,0.9801980198019802,0.5,0.019801980198019802,0.5
16,14,3,18,0.8727272727272727,0.5,0.12727272727272726,0.5
17,9,10,20,0.68,0.36,0.32,0.64
2,14,21,28,0.16,0.5,0.84,0.5
17,4,25,2,0.5,0.746268656716418,0.5,0.2537313432835821
18,25,16,15,0.40298507462686567,0.5,0.5970149253731343,0.5
4,23,14,30,0.27149321266968324,0.5,0.7285067873303167,0.5
15,9,1,23,0.9745762711864406,0.5,0.025423728813559324,0.5
6,7,12,23,0.6216216216216216,0.5,0.3783783783783784,0.5
29,7,19,7,0.5,0.3958333333333333,0.5,0.6041666666666666
10,13,2,11,0.8088235294117647,0.5,0.19117647058823528,0.5
16,1,5,1,0.5,0.23809523809523808,0.5,0.7619047619047619
10,30,3,11,0.55,0.5,0.45,0.5
10,28,1,10,0.78125,0.5,0.21875,0.5
15,20,10,14,0.5121951219512195,0.5,0.4878048780487805,0.5
28,7,23,9,0.5,0.3898305084745763,0.5,0.6101694915254238
11,2,3,30,0.9166666666666666,0.16666666666666666,0.08333333333333333,0.8333333333333334
7,2,26,10,0.5,0.4262295081967213,0.5,0.5737704918032787
30,29,24,22,0.5,0.5132743362831859,0.5,0.48672566371681414
19,1,5,17,0.7169811320754716,0.03773584905660377,0.2830188679245283,0.9622641509433962
28,9,20,15,0.5,0.3,0.5,0.7
18,11,20,13,0.5,0.4845814977973568,0.5,0.5154185022026432
30,25,29,23,0.5,0.5123674911660777,0.5,0.4876325088339223
26,30,28,22,0.5,0.5949008498583569,0.5,0.40509915014164305
28,19,26,29,0.5,0.3782542113323124,0.5,0.6217457886676876
11,17,8,14,0.5310344827586206,0.5,0.4689655172413793,0.5
29,29,16,14,0.5,0.5333333333333333,0.5,0.4666666666666667
15,23,13,14,0.412573673870334,0.5,0.587426326129666,0.5
27,11,29,1,0.5,0.9219653179190751,0.5,0.07803468208092486
2,21,15,2,0.08360128617363344,0.8778135048231511,0.9163987138263665,0.12218649517684887
19,16,8,8,0.5,0.45714285714285713,0.5,0.5428571428571428
26,19,26,29,0.5,0.3958333333333333,0.5,0.6041666666666666
24,19,8,5,0.5,0.5588235294117647,0.5,0.4411764705882353
10,3,12,5,0.5,0.4186046511627907,0.5,0.5813953488372093
8,1,13,2,0.5,0.4482758620689655,0.5,0.5517241379310345
18,12,12,8,0.5,0.5,0.5,0.5
19,19,20,8,0.5,0.7142857142857143,0.5,0.2857142857142857
13,26,16,3,0.4482758620689655,0.896551724137931,0.5517241379310345,0.10344827586206896
20,7,15,23,0.5,0.18584070796460178,0.5,0.8141592920353983
26,2,8,5,0.5,0.1095890410958904,0.5,0.8904109589041096
12,4,13,23,0.5357142857142857,0.17857142857142858,0.4642857142857143,0.8214285714285714
3,3,27,4,0.5,0.8709677419354839,0.5,0.12903225806451613
30,20,12,11,0.5,0.42105263157894735,0.5,0.5789473684210527
21,23,25,5,0.5,0.8455882352941176,0.5,0.15441176470588236
26,30,15,5,0.5,0.7758620689655172,0.5,0.22413793103448276
21,17,21,8,0.5,0.68,0.5,0.32
13,19,29,3,0.5,0.9338983050847458,0.5,0.06610169491525424
23,3,27,25,0.5,0.12347560975609756,0.5,0.8765243902439024
22,26,29,2,0.5,0.9448621553884712,0.5,0.05513784461152882
20,5,23,9,0.5,0.3898305084745763,0.5,0.6101694915254238
28,3,24,23,0.5,0.1005586592178771,0.5,0.8994413407821229
19,30,21,8,0.5,0.8056265984654731,0.5,0.19437340153452684
9,9,5,4,0.5,0.5555555555555556,0.5,0.4444444444444444
15,7,8,6,0.5,0.3835616438356164,0.5,0.6164383561643836
18,2,15,29,0.5121951219512195,0.056910569105691054,0.4878048780487805,0.943089430894309
18,24,18,4,0.5,0.8571428571428571,0.5,0.14285714285714285
24,25,26,1,0.5,0.9643916913946587,0.5,0.03560830860534125
25,27,20,2,0.5,0.9152542372881356,0.5,0.0847457627118644
12,21,10,2,0.5,0.8974358974358975,0.5,0.10256410256410256
29,25,28,1,0.5,0.9602194787379973,0.5,0.039780521262002745
12,1,14,15,0.5,0.07216494845360824,0.5,0.9278350515463918
19,3,21,13,0.5,0.2032258064516129,0.5,0.7967741935483871
29,29,29,10,0.5,0.7435897435897436,0.5,0.2564102564102564
24,12,26,10,0.5,0.5652173913043478,0.5,0.43478260869565216
18,24,30,4,0.5,0.9090909090909091,0.5,0.09090909090909091
22,10,30,7,0.5,0.6607929515418502,0.5,0.3392070484581498
23,9,21,26,0.5,0.24015247776365947,0.5,0.7598475222363406
